			STT	STT	NT	NT	Cluster	Cluster	XC	XC	BRKGA-STT	BRKGA-Cluster	BRKGA-A	Best Upper Bound	Optimum
Geographic Distribution	case	Instance	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	object funcion value	object funcion value	object funcion value	object funcion value
C	3	10	103.05461	0.005	103.07163	0.000	103.04418	0.000	105.05708	0.000	109.05012	109.05012	109.05012	115.06309	109.05012
C	3	11	117.05721	0.000	115.04610	0.000	115.05463	0.000	116.00898	0.000	122.01115	122.01115	122.01115	126.07728	
C	3	12	102.03713	0.000	102.04688	0.000	101.04495	0.000	100.11244	0.000	106.02371	106.02371	106.02371	108.09007	
C	3	13	127.02631	0.000	125.06182	0.000	125.06182	0.000	125.05258	0.000	130.02655	130.02655	130.02655	136.12298	130.02655
C	3	14	105.15511	0.000	105.07481	0.000	105.07481	0.000	106.10078	0.000	112.09523	112.09523	112.09523	123.10629	112.09523
C	3	15	105.03248	0.000	121.02145	0.000	121.02145	0.000	120.05948	0.000	124.02345	124.02345	124.02345	127.16125	
C	3	16	128.06012	0.010	125.09453	0.000	125.07594	0.000	119.12464	0.000	138.01366	138.01366	138.01366	144.12512	138.01366
C	3	17	108.08489	0.005	106.13348	0.000	107.08774	0.000	101.10886	0.000	115.03745	115.03745	115.03745	120.12967	115.03745
C	3	18	110.08387	0.005	110.08203	0.000	110.08203	0.000	106.12264	0.000	116.06995	116.06995	116.06995	121.15383	116.06995
C	3	19	131.11491	0.000	127.20351	0.005	135.11873	0.000	132.13774	0.005	149.09433	149.09433	149.09433	156.11288	
C	3	20	128.13889	0.010	130.13344	0.000	130.13344	0.000	135.12517	0.000	140.10196	140.10196	140.10196	145.18021	140.10196
RC	3	1	88.19579	0.030	87.19579	0.000	87.19579	0.005	81.21967	0.000	88.19795	88.19795	88.19795	88.36970	88.19795
RC	3	2	77.15007	0.005	85.14548	0.000	85.14548	0.000	84.12164	0.000	91.05627	91.05627	91.05627	95.22002	91.05627
RC	3	3	120.03199	0.005	115.08821	0.000	119.04902	0.000	112.07800	0.000	127.03407	127.03407	127.03407	136.12946	127.03407
RC	3	4	126.03639	0.005	125.04203	0.000	126.03540	0.000	127.03309	0.000	134.01761	134.01761	133.04933	143.10994	134.01761
RC	3	5	115.04064	0.000	122.09085	0.000	122.09085	0.000	122.09085	0.000	125.03086	125.03086	125.03086	129.19933	125.03086
RC	3	6	130.06342	0.000	130.05663	0.000	140.01869	0.000	122.09679	0.000	143.02419	143.02419	143.02419	150.14717	143.02419
RC	3	7	122.03082	0.010	122.04621	0.000	122.04621	0.000	116.04994	0.000	128.01634	128.01634	128.01634	135.09335	128.01634
RC	3	8	111.03635	0.005	114.03828	0.005	114.03828	0.000	112.08047	0.000	120.02463	120.02463	120.02463	128.09739	
RC	3	9	119.04755	0.000	119.12390	0.000	118.06194	0.000	121.05820	0.000	130.05135	130.05135	130.05135	140.15639	130.05135
RC	3	10	120.02047	0.010	118.05408	0.000	118.03757	0.000	110.09449	0.000	124.04644	124.04644	124.03252	132.09522	
RC	3	11	107.12275	0.000	112.02379	0.000	112.02379	0.000	109.08147	0.000	119.01598	119.01598	119.01588	127.09593	
RC	3	12	127.05484	0.010	128.02229	0.000	127.04217	0.000	125.06419	0.000	133.01329	132.03250	133.01329	141.09058	
RC	3	13	119.05707	0.005	117.04162	0.000	117.04162	0.000	114.02033	0.005	127.02100	127.02100	127.02100	136.14204	127.02100
RC	3	14	94.07772	0.005	101.15982	0.000	94.07772	0.005	94.05328	0.000	108.08176	108.08176	108.08176	115.20019	108.08176
RC	3	15	52.56899	0.000	53.60294	0.000	54.08830	0.000	52.64372	0.000	58.55780	58.55780	58.55780	64.61076	58.55780
RC	3	16	98.06673	0.005	98.10143	0.000	100.12701	0.000	100.08121	0.000	109.03887	109.03887	109.03887	123.12202	109.03887
RC	3	17	101.21188	0.010	101.21188	0.005	101.21188	0.000	97.21188	0.000	109.12064	109.12064	109.12064	118.25997	109.12064
RC	3	18	103.11655	0.010	107.07553	0.000	114.05372	0.000	110.06033	0.000	116.05949	116.05949	116.05949	122.14100	116.05949
RC	3	19	122.11840	0.000	123.09663	0.000	127.08788	0.000	124.06352	0.000	142.04457	142.04457	142.04457	151.14158	142.04457
RC	3	20	103.06712	0.000	95.17113	0.000	103.06712	0.000	88.11681	0.000	109.07402	109.07402	109.07402	117.17091	109.07402
RAD	3	1	89.08849	0.005	89.08849	0.000	89.08849	0.000	85.08849	0.000	96.10349	96.10349	96.10349	96.39121	96.10349
RAD	3	2	104.01416	0.010	99.05314	0.000	102.04174	0.000	99.05782	0.000	106.05830	106.05830	106.05830	111.18752	106.05830
RAD	3	3	93.07673	0.000	87.07089	0.000	93.03381	0.000	92.07153	0.000	97.01405	97.01405	97.01405	106.11035	97.01405
RAD	3	4	117.01941	0.010	121.03590	0.000	122.03943	0.000	116.05547	0.000	128.02658	128.02658	128.02658	141.05993	
RAD	3	5	96.08912	0.010	97.09498	0.000	96.08912	0.000	95.07850	0.000	105.09344	105.09344	105.09344	114.16952	105.09344
RAD	3	6	119.08096	0.000	111.04999	0.000	122.08405	0.000	111.08089	0.000	128.03902	128.03902	128.03902	139.15417	128.03902
RAD	3	7	109.04502	0.010	109.04502	0.000	109.04502	0.005	101.06590	0.005	112.02768	112.02768	112.02768	125.11406	
RAD	3	8	109.05546	0.005	113.02399	0.005	109.03281	0.000	112.04500	0.000	119.03281	119.03281	119.00765	129.09549	
RAD	3	9	103.06610	0.010	98.10071	0.000	98.10071	0.000	105.09911	0.000	109.06878	109.06878	109.06878	121.12661	
RAD	3	10	102.06525	0.010	107.04070	0.000	107.04070	0.000	99.08741	0.000	110.02838	110.02838	110.02838	119.07280	110.02838
RAD	3	11	96.04595	0.010	92.06091	0.000	102.05300	0.000	99.04750	0.000	105.01386	105.01386	105.01386	112.08236	
RAD	3	12	123.04923	0.010	122.03188	0.000	124.02984	0.000	122.03060	0.000	127.02860	127.02860	127.02860	146.03919	
RAD	3	13	108.05753	0.015	105.03490	0.000	108.06650	0.000	111.05299	0.000	112.05406	112.05406	112.05406	128.13325	112.05406
RAD	3	14	113.08494	0.005	111.09000	0.000	111.12950	0.000	102.09027	0.000	116.05788	116.05788	116.05788	119.16846	116.05788
RAD	3	15	116.05589	0.010	117.10800	0.000	114.12284	0.000	115.09405	0.000	125.08395	125.08395	125.08395	135.13365	125.08395
RAD	3	16	109.07880	0.000	100.11687	0.000	102.04302	0.000	102.13409	0.000	113.08534	113.08534	113.08534	124.15033	113.08534
RAD	3	17	99.07752	0.005	102.05048	0.000	99.07752	0.000	102.08025	0.000	106.06606	106.06606	106.06606	116.15241	106.06606
RAD	3	18	114.09523	0.000	102.10700	0.000	102.10700	0.000	102.09073	0.000	118.07293	118.07293	118.07293	125.13011	118.07293
RAD	3	19	104.09650	0.010	104.08245	0.000	101.10064	0.000	99.08732	0.000	110.09001	110.09001	110.09001	121.22563	110.09001
RAD	3	20	105.07412	0.005	100.08481	0.000	101.09416	0.000	103.05759	0.000	116.04576	116.04576	116.04576	123.18572	116.04576
R	4	1	84.09033	0.000	87.07507	0.000	87.07507	0.000	82.06548	0.000	87.09905	87.09905	87.09905	88.24801	
R	4	2	119.05450	0.005	118.05562	0.005	118.05562	0.000	114.13093	0.000	129.02609	129.02609	129.02609	137.08271	129.02609
R	4	3	134.00740	0.010	127.06570	0.000	130.07320	0.000	127.07090	0.000	139.03795	139.03795	139.03795	151.05646	
R	4	4	125.06896	0.000	132.02451	0.000	129.05031	0.000	127.03492	0.000	141.02017	141.02017	141.02017	152.04838	
R	4	5	108.05176	0.000	108.05176	0.000	104.06340	0.000	103.07832	0.000	112.05501	112.05501	112.05501	120.17839	112.05501
R	4	6	118.01954	0.010	123.02069	0.000	123.02069	0.000	121.02803	0.000	123.03996	123.03996	123.03996	141.01465	123.03996
R	4	7	125.05359	0.000	124.02577	0.000	124.02577	0.000	125.04089	0.000	139.01209	140.00684	140.00684	153.03642	
R	4	8	127.07098	0.005	126.05318	0.000	127.05351	0.000	119.06517	0.000	137.02078	137.02078	137.01009	153.04350	
R	4	9	116.11096	0.005	119.09174	0.000	119.09174	0.000	110.15442	0.000	134.01645	134.01645	134.01645	156.07766	
R	4	10	137.02356	0.005	136.02158	0.000	137.03322	0.005	127.09949	0.000	149.00531	149.00531	149.00531	163.04651	
R	4	11	113.03176	0.005	114.04945	0.000	113.03176	0.000	112.06118	0.000	121.01169	121.01169	120.02866	133.04257	
R	4	12	138.00751	0.005	137.04419	0.005	128.07759	0.000	127.03390	0.000	145.02171	145.02171	143.03105	156.02586	
R	4	13	117.09556	0.005	134.09349	0.000	134.09349	0.000	124.11701	0.000	145.04074	145.04074	145.04074	170.05832	
R	4	14	117.05370	0.005	116.08844	0.000	116.06350	0.000	109.09466	0.000	127.05201	127.05201	127.05201	144.07046	127.05201
R	4	15	103.12702	0.010	105.13217	0.000	105.13217	0.000	100.11549	0.000	116.06081	116.06081	116.03852	128.10926	
R	4	16	120.07769	0.005	129.01410	0.000	122.04901	0.000	111.11452	0.000	129.02371	129.02371	129.02371	141.05551	
R	4	17	107.09789	0.005	108.07436	0.000	107.09789	0.000	103.07410	0.000	116.04768	116.04768	116.04768	133.11425	116.04768
R	4	18	129.03415	0.005	122.07991	0.000	122.07991	0.005	121.07798	0.000	136.02869	136.02869	136.02869	151.10312	136.02869
R	4	19	131.06032	0.005	125.05832	0.000	125.05832	0.000	125.06132	0.000	142.03870	142.03870	142.03870	156.05405	142.03870
R	4	20	114.11487	0.000	120.10558	0.000	108.16096	0.000	110.10220	0.000	130.05100	130.05100	130.05100	143.11130	
C	4	1	108.07425	0.015	106.07018	0.000	109.07524	0.000	106.07018	0.000	115.02374	115.02374	115.02374	116.16897	
C	4	2	132.06865	0.005	134.05544	0.000	140.06566	0.000	137.06198	0.005	147.03401	147.03401	147.03401	158.13691	147.03401
C	4	3	114.05141	0.015	118.05866	0.000	118.05866	0.000	115.06375	0.000	124.03440	124.03440	124.03440	134.10358	124.03440
C	4	4	114.02155	0.005	117.02454	0.005	119.03735	0.000	118.02825	0.000	126.02463	126.02463	126.02463	137.05430	
C	4	5	125.04102	0.010	127.03926	0.000	133.01805	0.005	129.03906	0.000	140.03821	140.03821	140.03821	156.14545	140.03821
C	4	6	152.05283	0.005	159.02473	0.000	150.07088	0.000	150.09784	0.000	170.02728	170.03310	170.02411	185.06616	
C	4	7	129.05330	0.000	128.05927	0.000	127.07578	0.000	128.03766	0.000	138.00926	138.01137	138.01137	152.06748	
C	4	8	147.03777	0.000	149.04215	0.000	152.02556	0.000	153.00392	0.000	157.00806	157.00806	157.00806	167.06034	
C	4	9	114.12703	0.000	113.09698	0.000	113.09698	0.000	114.09174	0.000	123.05843	123.05843	122.06770	137.10179	
C	4	10	151.04260	0.005	153.03058	0.000	160.04509	0.000	155.00954	0.000	165.02119	165.02119	165.02119	174.07091	
C	4	11	123.03534	0.000	123.03301	0.000	123.04382	0.000	118.06662	0.000	133.01059	133.01059	133.01059	140.05065	
C	4	12	144.07109	0.000	143.07570	0.000	143.07768	0.000	147.06212	0.000	154.00923	154.00995	154.00923	168.03741	
C	4	13	146.06134	0.005	152.03847	0.000	147.04668	0.000	140.04067	0.000	161.02454	161.02454	161.02454	178.09904	
C	4	14	121.06135	0.005	120.06664	0.000	120.06664	0.005	125.03735	0.000	127.02345	127.02345	127.02345	137.09796	
C	4	15	115.10259	0.010	118.05195	0.005	120.06017	0.000	120.06895	0.000	132.02754	132.02734	133.01233	145.08380	
C	4	16	137.06155	0.005	139.03485	0.000	139.05170	0.000	141.04768	0.000	151.01923	151.01923	151.01923	164.12067	
C	4	17	153.02881	0.005	152.01695	0.000	150.07951	0.000	138.08073	0.000	159.03053	159.03053	159.03053	174.13065	
C	4	18	121.05788	0.010	122.05613	0.000	122.07708	0.000	116.03018	0.000	130.03470	130.03470	130.03470	138.11147	
C	4	19	114.03996	0.020	116.04147	0.000	116.04147	0.000	102.03423	0.000	122.02779	122.02779	122.02779	132.12738	
C	4	20	128.01440	0.010	123.06001	0.000	127.08151	0.000	118.06027	0.000	137.03502	137.03502	137.03502	149.16526	
RC	4	1	105.06120	0.010	109.06744	0.000	108.07577	0.000	101.05620	0.000	111.07577	111.07577	111.07577	111.18977	111.07577
RC	4	2	126.05312	0.010	130.01343	0.000	124.07467	0.000	130.01343	0.000	135.01787	135.01787	135.01787	146.10056	135.01787
RC	4	3	131.02638	0.005	128.01746	0.000	128.01746	0.000	130.03162	0.000	142.03127	142.03127	142.03127	155.09345	
RC	4	4	150.01773	0.010	152.03415	0.000	151.05429	0.000	150.04839	0.000	164.02542	164.02542	164.02542	181.05628	
RC	4	5	121.04509	0.005	122.05969	0.000	114.04412	0.005	110.04380	0.005	131.03546	131.03546	131.03546	150.14480	
RC	4	6	123.04680	0.010	122.05356	0.000	119.04530	0.000	122.04408	0.000	129.01488	129.01488	129.01488	140.11058	
RC	4	7	127.02160	0.010	129.02736	0.005	134.00919	0.000	130.04279	0.000	137.00919	137.00919	137.00919	151.07499	
RC	4	8	139.04877	0.005	138.03003	0.000	141.02112	0.000	130.05014	0.000	148.01645	148.01340	148.01340	163.06346	
RC	4	9	139.04730	0.005	128.06664	0.000	130.06780	0.000	132.05135	0.000	146.03413	146.03413	146.02161	161.07701	
RC	4	10	114.01782	0.010	111.01930	0.000	115.03110	0.000	107.05612	0.000	119.03614	119.03614	119.03614	132.08714	
RC	4	11	165.06718	0.000	165.06718	0.000	167.03685	0.000	157.01302	0.000	175.01428	175.01428	175.00778	191.07198	
RC	4	12	148.02275	0.000	147.03674	0.000	152.03522	0.000	151.03246	0.000	155.02104	155.02104	155.01631	163.08061	
RC	4	13	119.01502	0.000	121.05397	0.000	118.02279	0.000	108.09698	0.000	128.05528	128.05528	128.05528	143.08838	
RC	4	14	125.08546	0.005	126.02294	0.000	126.02294	0.005	118.13026	0.000	135.06328	135.06328	135.06328	147.15327	
RC	4	15	128.09988	0.010	140.09029	0.000	140.09029	0.000	132.07620	0.000	150.05440	150.02649	150.05440	162.16876	150.05440
RC	4	16	108.03482	0.000	108.07912	0.000	108.07912	0.000	108.08595	0.000	116.04530	116.04530	116.04530	134.14649	
RC	4	17	118.03996	0.005	117.04050	0.000	112.03976	0.000	109.03652	0.005	123.05846	123.05846	123.05846	129.15538	
RC	4	18	109.03806	0.005	116.05604	0.000	109.06417	0.000	114.06725	0.000	124.02078	124.02078	123.08542	136.13713	
RC	4	19	112.07991	0.000	101.10255	0.000	117.07066	0.000	111.09256	0.000	122.06245	122.06245	122.06245	131.13957	122.06245
RC	4	20	101.12146	0.000	101.09522	0.000	104.09856	0.000	99.10421	0.000	115.04646	115.04646	115.04646	125.12048	
RAD	4	1	79.11115	0.010	84.05790	0.000	84.05790	0.000	81.07343	0.000	86.07098	86.07098	86.07098	86.29519	
RAD	4	2	92.04271	0.010	91.08891	0.000	91.08891	0.000	94.06441	0.000	102.04565	102.04565	102.04565	110.09706	102.04565
RAD	4	3	108.05726	0.005	112.04430	0.000	103.06963	0.000	108.03884	0.000	119.02652	119.02652	119.02652	138.11084	
RAD	4	4	131.00803	0.010	135.01480	0.000	135.01480	0.000	128.06082	0.000	143.01083	143.01083	143.01083	163.07039	
RAD	4	5	94.02357	0.005	93.01923	0.000	93.01923	0.000	96.01010	0.000	103.02405	103.02405	103.02405	114.13474	103.02405
RAD	4	6	129.04189	0.000	127.02627	0.000	133.04477	0.000	129.02667	0.000	137.02226	137.02226	137.02226	153.13844	
RAD	4	7	116.07174	0.010	130.00992	0.000	116.03518	0.000	110.05974	0.000	134.03418	134.03418	134.03418	154.11822	
RAD	4	8	131.03770	0.000	131.01677	0.000	125.00817	0.000	129.03180	0.000	141.01543	141.01543	141.01469	159.04813	
RAD	4	9	117.07210	0.000	107.08186	0.000	117.07935	0.000	108.04735	0.005	123.03578	123.03578	123.03578	132.12169	
RAD	4	10	155.06044	0.015	154.05023	0.000	153.03667	0.000	157.04411	0.000	167.03784	167.02237	167.03784	184.07216	
RAD	4	11	157.06725	0.010	153.03838	0.000	153.03838	0.000	140.08075	0.000	168.00148	168.00148	168.00348	180.08852	
RAD	4	12	138.03299	0.005	131.05156	0.000	135.03075	0.000	136.03894	0.000	147.01823	147.01823	147.01823	163.08087	
RAD	4	13	109.04355	0.005	103.04674	0.000	104.05331	0.000	103.05940	0.000	118.03279	118.03279	118.03279	135.10253	
RAD	4	14	108.04699	0.010	108.04699	0.000	109.03845	0.000	106.04518	0.000	123.01382	123.01382	123.01382	139.14466	
RAD	4	15	116.05613	0.010	108.06999	0.000	108.06999	0.000	111.06340	0.000	120.05538	120.05538	120.05538	131.14476	
RAD	4	16	92.03753	0.005	92.03753	0.000	92.03753	0.000	84.08196	0.000	103.01798	103.01798	103.01798	116.15424	
RAD	4	17	100.07111	0.000	97.09712	0.000	96.11990	0.000	102.06178	0.000	111.04558	111.04558	111.04558	121.09669	
RAD	4	18	101.06016	0.005	103.05132	0.000	98.07369	0.000	93.06828	0.000	109.05430	109.05430	109.05430	123.13810	109.05430
RAD	4	19	127.08369	0.000	136.05364	0.000	120.08726	0.000	122.05858	0.000	136.06307	136.06307	136.06307	144.15077	136.06307
RAD	4	20	88.09390	0.000	88.06368	0.000	88.06368	0.000	86.07748	0.000	105.04229	105.04229	105.04229	113.14014	
R	5	1	187.10599	0.005	187.11174	0.000	184.08418	0.000	187.07469	0.005	214.07156	214.07156	214.06709	215.25692	
R	5	2	195.07269	0.005	208.06241	0.005	202.03731	0.000	198.05508	0.000	220.04527	220.04401	220.04401	225.16865	
R	5	3	210.04091	0.000	211.04584	0.000	208.08154	0.000	205.07344	0.000	221.04424	221.02602	221.04424	224.12035	
R	5	4	201.07436	0.000	205.04233	0.000	207.07329	0.000	209.04564	0.000	224.01045	222.04063	222.03268	236.05046	
R	5	5	206.08168	0.010	206.10288	0.000	212.08302	0.005	198.09477	0.000	223.04636	223.05159	223.05159	228.18994	
R	5	6	221.09551	0.000	225.03684	0.000	224.03801	0.000	216.08862	0.000	239.03427	239.02918	237.04918	250.08256	
R	5	7	232.06303	0.010	237.04504	0.000	237.05301	0.000	236.04431	0.000	249.02649	250.01540	250.01828	257.07025	
R	5	8	235.04565	0.010	239.04068	0.000	240.06500	0.000	226.10527	0.000	250.01857	248.03685	249.02687	254.06473	
R	5	9	229.08081	0.005	235.06320	0.000	227.05632	0.000	234.04536	0.000	247.03046	248.03082	247.02998	256.09002	
R	5	10	233.04152	0.010	232.06075	0.000	236.04504	0.000	227.06799	0.000	247.02507	247.02956	247.02562	253.06588	
R	5	11	245.06065	0.005	245.06686	0.000	243.09108	0.000	241.04588	0.005	254.00951	254.00928	253.02222	259.06007	
R	5	12	264.03458	0.010	267.03421	0.005	262.03937	0.000	268.02496	0.000	280.02936	282.02020	281.00913	291.06411	
R	5	13	181.07532	0.000	191.06337	0.000	189.12564	0.000	197.08882	0.000	207.04054	207.04054	207.04054	212.11203	
R	5	14	217.04593	0.005	226.06308	0.000	225.06628	0.005	218.08536	0.000	244.04321	244.04321	243.05562	250.14237	
R	5	15	217.04729	0.000	218.06163	0.000	222.05624	0.000	214.09219	0.000	236.05350	236.05350	235.03880	250.19622	
R	5	16	239.13057	0.000	237.09331	0.000	235.10391	0.000	231.13225	0.000	260.04355	260.04355	257.03323	265.14819	
R	5	17	218.05286	0.000	214.07640	0.000	216.06821	0.000	202.10922	0.000	236.04968	236.04968	235.05171	247.17689	
R	5	18	194.07315	0.005	191.06390	0.000	189.06444	0.000	193.07294	0.000	203.04482	202.05495	202.05824	208.10478	
R	5	19	210.06760	0.000	217.05396	0.000	220.05992	0.000	213.07637	0.000	230.03204	230.03410	229.05345	237.09306	
R	5	20	219.04274	0.000	216.04146	0.000	213.03891	0.000	213.04915	0.000	231.02892	231.02892	231.01527	245.07664	
C	5	1	180.07530	0.010	181.08624	0.000	179.08624	0.000	176.12526	0.005	189.06151	189.06151	189.06151	189.25604	
C	5	2	182.14154	0.010	201.06822	0.000	195.06822	0.000	194.07309	0.000	214.03162	215.02194	213.05524	217.17470	
C	5	3	245.06537	0.010	245.16644	0.000	247.11191	0.000	238.15828	0.000	265.04837	265.04858	265.04837	267.20521	
C	5	4	238.06142	0.010	243.04775	0.000	245.07657	0.000	230.06963	0.000	250.01799	250.01636	249.03754	252.09503	
C	5	5	241.06287	0.010	238.05168	0.000	241.07858	0.000	235.08801	0.000	256.02890	256.03128	257.02005	264.13963	
C	5	6	250.03923	0.010	247.03139	0.000	246.03555	0.000	230.05093	0.000	263.02387	263.02841	261.03592	269.08918	
C	5	7	244.06522	0.005	246.04260	0.000	245.06093	0.000	240.08588	0.000	257.03586	258.02512	257.02011	266.07664	
C	5	8	196.08075	0.000	199.04218	0.000	195.05441	0.000	193.05742	0.000	207.01668	207.01598	207.01627	212.08568	
C	5	9	229.03410	0.000	228.08128	0.000	228.07513	0.000	229.05368	0.000	242.02928	242.02658	240.03244	248.09725	
C	5	10	252.05945	0.010	254.03981	0.000	248.07210	0.000	254.06604	0.005	257.05335	257.05270	257.04764	258.14836	
C	5	11	250.05386	0.000	252.07767	0.005	253.05774	0.000	242.10190	0.000	258.03955	258.03833	258.03223	261.08847	
C	5	12	251.05330	0.010	249.03322	0.000	248.06702	0.000	246.06073	0.000	255.02858	255.03207	255.02625	258.08832	
C	5	13	225.05136	0.030	221.04933	0.000	227.05251	0.005	218.07269	0.000	237.04292	238.02669	236.04221	245.07361	
C	5	14	239.08658	0.010	244.09047	0.000	243.11444	0.000	237.06151	0.000	259.02319	257.03720	257.03610	263.09603	
C	5	15	243.15167	0.015	246.18378	0.000	249.17333	0.000	250.11005	0.000	272.07193	272.07657	272.06387	281.14414	
C	5	16	218.10292	0.005	234.06870	0.000	228.09113	0.000	222.10658	0.000	244.04779	244.04195	243.02667	252.10754	
C	5	17	246.08408	0.005	243.09815	0.000	241.08626	0.000	235.10111	0.000	258.04617	258.04617	256.06165	267.14049	
C	5	18	233.07066	0.000	234.07340	0.000	227.13165	0.000	223.12221	0.000	242.05321	243.03441	242.05190	248.12526	
C	5	19	198.11758	0.005	201.10919	0.000	200.07768	0.000	197.13176	0.000	214.04887	214.06690	214.04755	221.12681	
C	5	20	225.11916	0.010	227.09363	0.000	231.07706	0.000	229.06889	0.005	245.04613	244.03987	246.02988	249.17700	
RC	5	1	194.13248	0.010	181.10883	0.000	191.09555	0.000	186.09601	0.000	208.11371	208.11237	208.11371	212.27190	
RC	5	2	175.09670	0.010	180.07965	0.000	179.07106	0.005	172.14734	0.000	200.05864	200.05055	200.05864	201.19885	
RC	5	3	209.03507	0.015	211.01947	0.000	208.03143	0.000	206.07764	0.000	221.02913	221.02460	219.04320	223.12626	
RC	5	4	196.09808	0.010	199.07237	0.000	199.04559	0.000	196.10255	0.000	210.02972	210.03951	209.04021	217.07745	
RC	5	5	199.07489	0.005	194.06403	0.000	204.05304	0.000	194.09804	0.000	214.05475	214.05475	214.03256	221.17005	
RC	5	6	234.06383	0.000	229.05032	0.000	228.08400	0.000	226.09134	0.000	248.02327	249.02036	247.04224	255.10286	
RC	5	7	209.07806	0.005	213.05975	0.000	210.03514	0.000	206.07761	0.000	222.02683	222.02599	222.01596	234.27736	
RC	5	8	256.06000	0.005	259.04529	0.000	256.05414	0.000	256.06854	0.000	272.02658	272.02222	269.03168	280.09483	
RC	5	9	123.53418	0.005	124.54709	0.000	123.05725	0.000	120.57102	0.000	132.02640	132.03021	132.02640	139.10565	
RC	5	10	239.08255	0.005	240.06415	0.005	239.05190	0.000	244.05196	0.000	255.01675	254.03996	254.03069	260.10046	
RC	5	11	240.08130	0.005	242.03207	0.000	239.06207	0.005	235.07588	0.005	252.01686	251.03749	252.02565	255.11034	
RC	5	12	236.05200	0.005	235.07358	0.000	237.06944	0.000	230.05460	0.000	241.02998	241.02998	241.02141	244.10501	
RC	5	13	197.05443	0.010	204.06653	0.000	196.04294	0.000	189.06653	0.000	212.04286	212.04286	212.04034	226.14898	
RC	5	14	237.06531	0.000	234.07001	0.000	249.04242	0.000	239.07143	0.000	259.04584	259.04584	259.04584	270.15457	
RC	5	15	214.08861	0.000	208.10446	0.000	212.06751	0.000	218.09503	0.000	233.02727	233.02727	232.04982	241.12914	
RC	5	16	210.06793	0.005	209.06003	0.000	208.05171	0.000	207.07376	0.000	217.03151	217.03075	217.02290	221.09850	
RC	5	17	218.09630	0.010	228.08273	0.000	229.07268	0.000	222.09403	0.000	245.04160	248.03455	245.04160	259.17225	
RC	5	18	226.11163	0.010	231.10017	0.000	226.12154	0.005	220.14136	0.000	243.05156	243.05812	243.05127	250.14127	
RC	5	19	193.07579	0.010	201.07851	0.000	193.08382	0.000	192.09985	0.000	210.05039	210.05039	208.06874	216.13939	
RC	5	20	233.07845	0.010	236.08415	0.000	225.08635	0.000	223.04587	0.000	248.04359	248.04359	246.06104	256.18572	
RAD	5	1	154.11960	0.010	155.14929	0.000	153.16283	0.000	146.14859	0.005	165.12044	165.12044	165.12044	165.25898	
RAD	5	2	199.04987	0.010	188.09367	0.000	199.06424	0.000	181.09760	0.000	211.03520	211.03520	209.05869	215.24454	
RAD	5	3	198.07927	0.005	204.09145	0.000	206.10043	0.000	197.11623	0.000	221.06509	221.06630	222.03687	229.17930	
RAD	5	4	196.06697	0.005	196.05260	0.000	197.08072	0.000	202.05156	0.000	210.04230	211.01917	208.04274	219.09450	
RAD	5	5	220.07797	0.000	217.06960	0.000	212.07779	0.000	216.11395	0.000	235.03430	235.03430	235.03430	243.21878	
RAD	5	6	208.06415	0.000	200.06152	0.000	207.05382	0.000	210.04773	0.000	222.02304	221.03722	221.03850	231.10326	
RAD	5	7	191.02330	0.000	193.02837	0.000	191.05696	0.005	186.05307	0.000	205.03000	205.03098	205.02292	214.29287	
RAD	5	8	244.05586	0.000	245.05411	0.000	241.08188	0.000	233.07878	0.000	255.01894	255.01994	255.02296	261.10693	
RAD	5	9	195.07764	0.005	199.06241	0.005	198.06111	0.000	197.08856	0.000	213.02780	212.04239	213.03844	223.13290	
RAD	5	10	208.04633	0.000	202.06979	0.000	208.07657	0.000	201.08893	0.000	220.01994	221.01219	220.01801	227.09759	
RAD	5	11	217.07048	0.005	214.06003	0.000	222.03070	0.000	210.06688	0.005	231.01675	231.01576	230.03696	235.12690	
RAD	5	12	209.04237	0.010	209.05159	0.000	201.03967	0.000	203.06464	0.000	216.01625	216.00940	215.04088	224.10306	
RAD	5	13	191.08841	0.010	183.09685	0.000	186.09064	0.000	186.08066	0.000	206.05031	204.06726	203.07185	214.22371	
RAD	5	14	180.11551	0.000	182.13838	0.000	190.10324	0.000	181.08836	0.000	204.06554	204.06554	204.04636	215.19862	
RAD	5	15	209.04404	0.000	216.05939	0.000	216.05397	0.005	209.04804	0.000	232.03403	230.04576	230.03095	242.14439	
RAD	5	16	207.07237	0.005	203.06610	0.000	200.07445	0.000	190.07118	0.000	218.05792	218.05792	218.05792	229.18721	
RAD	5	17	227.05402	0.000	225.05090	0.000	220.05519	0.000	222.07463	0.000	239.02983	239.03513	238.03558	245.13396	
RAD	5	18	219.04486	0.000	212.08815	0.005	215.06363	0.000	209.08801	0.000	232.03571	232.04353	231.03427	244.18165	
RAD	5	19	220.08019	0.000	225.04758	0.000	223.05695	0.000	213.06184	0.000	242.03282	242.03262	242.02231	253.16814	
RAD	5	20	205.08279	0.005	206.04428	0.000	196.05922	0.000	196.05449	0.005	223.02745	221.04556	221.04280	234.16002	
R	6	1	146.05187	0.010	144.06017	0.000	144.06017	0.000	138.04802	0.000	153.06851	153.06851	153.06851	153.24583	
R	6	2	232.00552	0.010	224.02359	0.000	233.04514	0.000	215.05174	0.000	248.00929	247.01868	247.01868	270.10400	
