			STT	STT	NT	NT	Cluster	Cluster	XC	XC	BRKGA-STT	BRKGA-Cluster	BRKGA-A	Best Upper Bound	Optimum
Geographic Distribution	case	Instance	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	object funcion value	object funcion value	object funcion value	object funcion value
RC	1	6	23.02894	0.005	23.02894	0.000	23.02894	0.000	22.14077	0.000	25.05319	25.05319	25.05319	27.75707	25.05319
RC	1	7	59.10304	0.000	62.11560	0.000	62.11560	0.000	62.12977	0.000	66.07738	66.07738	66.07738	69.13899	66.07738
RC	1	8	75.01666	0.010	80.08705	0.000	80.07678	0.000	80.08369	0.000	81.05072	81.05072	81.05072	89.07577	81.05072
RC	1	9	59.12742	0.000	59.15917	0.000	59.15917	0.000	60.04889	0.000	65.01864	65.01864	65.01864	67.16093	65.01864
RC	1	10	75.10457	0.010	76.12476	0.000	76.12476	0.000	76.05383	0.000	78.04000	78.04000	78.04000	79.11847	78.04000
RC	1	11	72.07155	0.005	70.17716	0.000	79.08366	0.000	79.08244	0.000	79.10424	79.10424	79.10424	83.15249	79.10424
RC	1	12	41.54183	0.005	41.54005	0.000	41.55873	0.000	38.63797	0.000	42.00940	42.00940	42.00940	44.14893	42.00940
RC	1	13	32.65559	0.010	34.59266	0.000	34.59266	0.000	31.10739	0.000	35.60043	35.60043	35.60043	38.69935	35.60043
RC	1	14	63.09399	0.005	63.09399	0.000	58.06285	0.000	56.12027	0.000	63.09399	63.09399	63.09399	66.19372	63.09399
RC	1	15	68.05463	0.005	68.05463	0.000	68.05463	0.000	68.09187	0.000	69.07394	69.07394	69.07394	74.13391	69.07394
RC	1	16	54.09380	0.005	53.16544	0.000	53.16544	0.000	51.14755	0.000	57.05211	57.05211	57.05211	59.18143	57.05211
RC	1	17	68.02822	0.000	68.02822	0.000	64.07170	0.000	64.05483	0.000	68.03427	68.03427	68.03427	68.26551	68.03427
RC	1	18	72.01347	0.000	72.01347	0.000	73.05032	0.000	69.04264	0.000	73.05032	73.05032	73.05032	74.21751	73.05032
RC	1	19	53.13754	0.005	51.14201	0.000	51.14201	0.000	50.14809	0.000	53.13754	53.13754	53.13754	54.24208	53.13754
RC	1	20	69.12428	0.005	69.12428	0.000	62.15020	0.005	62.15219	0.000	69.12627	69.12627	69.12627	69.27267	69.12627
RAD	1	1	62.07860	0.010	67.12154	0.000	62.12154	0.000	72.15653	0.000	76.15870	76.15870	76.15870	76.33880	76.15870
RAD	1	2	52.06694	0.000	52.06694	0.000	49.11362	0.000	44.17688	0.000	55.02782	55.02782	55.02782	56.28803	55.02782
RAD	1	3	51.07563	0.000	51.06240	0.000	54.02276	0.000	50.01126	0.000	54.06712	54.06712	54.06712	56.21672	54.06712
RAD	1	4	69.06104	0.010	69.05940	0.000	69.05940	0.000	72.01592	0.000	72.01592	72.01592	72.01592	75.13472	72.01592
RAD	1	5	63.06965	0.005	64.06500	0.000	56.09048	0.000	55.09539	0.000	64.06500	64.06500	64.06500	64.33014	64.06500
RAD	1	6	59.02837	0.005	59.02837	0.000	59.02837	0.000	51.08099	0.000	62.04268	62.04268	62.04268	63.18292	62.04268
RAD	1	7	28.06877	0.005	30.07820	0.005	30.07820	0.000	30.09141	0.000	31.53929	31.53929	31.53929	32.63867	31.53929
RAD	1	8	42.04213	0.000	41.12167	0.000	41.12167	0.000	42.06776	0.000	45.01697	45.01697	45.01697	47.20183	45.01697
RAD	1	9	66.03800	0.000	64.05164	0.000	71.03441	0.000	69.05622	0.000	73.04364	73.04364	73.04364	77.13167	73.04364
